Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
,,,,,,,,,,,,,
C008223NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00","5 500.00","4 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00","5 500.00","4 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008224NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"14 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"14 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008226NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00","2 500.00","2 000.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00","2 500.00","2 000.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008234NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008242NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008245NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008250NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008251NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008254NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008256NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008259NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008261NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008262NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008263NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008266NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00","5 500.00","4 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00","5 500.00","4 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008268NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008269NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008270NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008271NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008273NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008274NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008277NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008279NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008282NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008292NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008298NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008300NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008301NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008304NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008305NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008306NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008307NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008310NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008313NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008314NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"14 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"14 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008315NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008316NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00","2 500.00","2 000.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00","2 500.00","2 000.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008318NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008319NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008320NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"9 000.00","6 000.00","4 800.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008321NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","4 000.00","3 200.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008384NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008515NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"7 000.00","7 000.00","5 600.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"7 000.00","7 000.00","5 600.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008526NM,AGM00087,USD,"200 000.00",,,,,,,,,,
,,,,,Yaya Test Company 12,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008527NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,10,"-5 080.00","-5 080.00",0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,10,"-5 080.00","-5 080.00",0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008528NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,10,"18 000.00","18 000.00","14 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,10,"18 000.00","18 000.00","14 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008529NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"3 000.00","3 000.00","2 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"3 000.00","3 000.00","2 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008540NM,C008540,USD,"1 000 000.00",POOL,,,,,,,,,
,,,,,Yaya Test Company 12,Active,10,"1 920.00","1 920.00","1 600.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,10,"1 920.00","1 920.00","1 600.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008556NM,C008556,USD,"1 000 000.00",,,,,,,,,,
,,,,,Yaya Test Company 12,Active,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"14 080.00","14 080.00","11 264.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008664NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008665NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008667NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008668NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008669NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008670NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008671NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008688NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008693NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008697NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008700NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008701NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008702NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008703NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008704NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008705NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008712NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008716nm,SCFUS2204843doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008716001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008748NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008750nm,SCFUS2204867doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008750001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008755NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008756NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00","8 000.00","1 400.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","1 400.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008757NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00","8 000.00","1 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","1 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008763nm,SCFUS2204874doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008763001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008764NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00","8 000.00","1 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","1 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008766nm,SCFUS2204875doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008766001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008768NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008769NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00","8 000.00","1 400.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","8 000.00","1 400.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008770NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00","6 500.00",200.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","6 500.00",200.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008787NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008788NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008789NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008790NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008791NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00","6 500.00",200.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00","6 500.00",200.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008949NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008950NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008951NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008953NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008958NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008965NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008967NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008968NM,232727,USD,"1 000 000.00",,,,,,,,,,
