Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008509NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008511NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","429 000.00","389 922.00","389 922.00",
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","429 000.00","389 922.00","389 922.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008513NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","429 000.00","389 922.00","389 922.00",
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","429 000.00","389 922.00","389 922.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008590NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,14,"500 000.00","500 000.00","257 400.00","132 600.00","132 600.00",
,,,,,,,,,,,,,
,,,,,,,14,"500 000.00","500 000.00","257 400.00","132 600.00","132 600.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008592NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,"500 000.00","500 000.00","257 400.00","132 600.00","132 600.00",
,,,,,,,,,,,,,
,,,,,,,14,"500 000.00","500 000.00","257 400.00","132 600.00","132 600.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008605NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008606NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Close,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008607NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008608NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008609NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008611nm,SCFUS2204774doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008613NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008620NM,C008620,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008632nm,SCFUS2204778doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008632001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008634NM,C008634,USD,"10 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008636NM,C008636,USD,"100 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,20,"100 000.00","100 000.00","4 000.00","6 000.00","6 000.00",
,,,,,,,,,,,,,
,,,,,,,20,"100 000.00","100 000.00","4 000.00","6 000.00","6 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008639nm,SCFUS2204782doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008639001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008640nm,SCFUS2204781doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008640001nm,Active,2,"20 000.00","20 000.00","16 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,2,"20 000.00","20 000.00","16 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008643NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008644NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008651nm,SCFUS2204789doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008651001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008654NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008655nm,SCFUS2204790doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008655001nm,Active,42,"4 171 600.00","4 051 600.00","3 241 280.00","96 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,42,"4 171 600.00","4 051 600.00","3 241 280.00","96 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008657NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008658NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008659NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008660NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008661NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008662NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008672NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008673NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008674NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008675NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008676NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008677NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008678NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008679nm,SCFUS2204814doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008679001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008681nm,SCFUS2204815doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008681001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008683NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008684nm,SCFUS2204817doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008684001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008686nm,SCFUS2204818doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008686001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008689nm,SCFUS2204820doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008689001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008691nm,SCFUS2204821doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008691001nm,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008694nm,SCFUS2204823doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C008694001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008698nm,SCFUS2204826doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008698001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008707nm,SCFUS2204834doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008707001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008709nm,SCFUS2204835doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008709001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008713NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008715NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008718NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008720NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008722NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008725NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008726NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008729NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008730NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008731NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008775NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008776NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008777NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008778NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008779NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008780NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008786NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008792nm,SCFUS2204897doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008792001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008799nm,SCFUS2204903doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008799001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008801nm,SCFUS2204904doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008801001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008807nm,SCFUS2204908doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008807001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008811nm,SCFUS2204911doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008811001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008813nm,SCFUS2204912doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008813001nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008815nm,SCFUS2204913doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008815001nm,Active,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00","10 000.00","8 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008818nm,SCFUS2204914doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008818001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008820nm,SCFUS2204915doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008820001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008822NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008823NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008893nm,SCFUS2304921doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008893001nm,Active,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"10 000.00",0.00,0.00,"8 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008934nm,232727,USD,"1 000.00",,,,,,,,,,
,,,,,PO_Counter1,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008947NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008948NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009009NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00","2 999 540.00","2 339 641.20",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00","2 999 540.00","2 339 641.20",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009010NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00","2 999 540.00","2 339 641.20",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00","2 999 540.00","2 339 641.20",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009041NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00","2 999 540.00","2 339 641.20",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00","2 999 540.00","2 339 641.20",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009060NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009091NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009092NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,1,"3 000 000.00","3 000 000.00","2 340 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009096NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009160NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C009162NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
